,id,lat,lon,name,capacity,Distrito
103,876527349,37.4038945,-5.9279828, Avenida de las Ciencias,14,1
104,876527352,37.3874563,-5.919972, Avenida Aeronáutica,15,3
105,876527373,37.3908025,-5.9196533, Avenida Alcalde Luis Uruñuela,12,4
106,876527377,37.4041166,-5.9373269, Avenida Alcalde Luis Uruñuela - Aprox. estación de Renfe,15,4
107,876527388,37.4019539,-5.9417776, Avenida Alcalde Luis Uruñuela,14,4
108,876527403,37.402591,-5.9405994, Avenida Alcalde Luis Uruñuela - Aprox. Cueva de la Pileta,15,1
109,876527406,37.3999402,-5.9251411, Calle Médicos Sin Frontera,14,4
110,877460579,37.4009895,-5.9884718, Plaza Pumarejo,15,4
111,877460606,37.4016053,-5.9837102, Calle León XIII,15,1
112,889003366,37.387051,-5.9748439, Calle Luis Montoto,17,3
113,889531693,37.3753464,-5.9527715, Calle Las Leandras,15,3
114,889531723,37.376105,-5.9552373, Puerto de los Azores,15,1
115,889531780,37.3780604,-5.9518787, Avenida Los Gavilanes,15,4
116,895677439,37.3930879,-5.9706, Avenida Kansas City,20,4
117,895677453,37.3961217,-5.9668118, Avenida Kansas City,20,3
118,895677458,37.4000437,-5.9619306, Avenida Kansas City,20,3
119,895677462,37.4093264,-5.9233566, Ciudad de Chiva,15,4
120,895677484,37.4029991,-5.9582151, Avenida Kansas City,15,4
121,895677647,37.4086892,-5.9279635, Calle Ciudad de Liria,15,2
122,895677806,37.4049803,-5.9358132, Avda. Alcalde Luis Uruñuela - Aprox. Centro Comercial Zona Este,30,4
123,895677827,37.3914176,-5.9727479, Avenida Kansas City,20,3
124,897251181,37.395428,-5.9640258, Calle Doctor Laffon,20,1
125,911709185,37.389342,-5.9995125, Calle Reyes Católicos,17,3
126,1118632190,37.4007128,-5.9265276, Calle Gema,15,2
127,1309940823,37.3809378,-5.9604646, Ronda Tamarguillo,20,3
128,1311751768,37.3881429,-5.9938475, Plaza San Francisco,20,3
129,1312257115,37.392217,-5.9898939, Plaza Cristo de Burgos,15,2
130,1313229294,37.3971581,-6.0062384, Camino de los Descubrimientos,40,2
131,1313569427,37.3964777,-5.9873931, Calle Hiniesta,15,2
132,1317877742,37.399968,-5.9562845, Calle Antioquía - Aprox. Avda de Pedro Romero,15,3
133,1343636301,37.3790534,-5.9899085, Glorieta San Diego,15,4
134,1360288717,37.3929973,-5.9868947, Plaza Jerónimo de Córdoba,20,3
135,1362113434,37.4041941,-6.0073507, Calle Leonardo Da Vinci,20,3
136,1362113441,37.3975341,-6.0105843, Calle Américo Vespucio,40,3
137,1362113466,37.409433,-6.0069599, Calle Américo Vespucio,20,4
138,1362113472,37.4122217,-6.0063862, Calle Américo Vespucio,20,4
139,1362163658,37.4158701,-6.0057752, Estadio Olímpico,20,2
140,1368695262,37.3827512,-5.9836676, Calle Juan de Mata Carriazo,20,2
141,1368695286,37.3874214,-5.9829997, Calle José María Moreno Galván,20,4
142,1372918822,37.3798544,-5.9746076, Avenida San Francisco Javier,15,2
143,1372918844,37.3731405,-5.9740229, Calle José Saramago,20,2
144,1380563765,37.4134313,-5.9824322, Ronda Urbana Norte - Aprox. C/ Doctor Fedriani,20,1
145,1380572090,37.4146363,-5.9738343, Calle Victoria Kent,15,3
146,1446037156,37.3871686,-5.9486212, Avenida de Andalucía - Aprox. Cochera de TUSSAM,20,3
147,1446037157,37.3804815,-5.9535723, Glorieta del Primero de Mayo - Aprox. C/ Carlos Marx,15,3
148,1487793047,37.3996367,-5.9777243, Carretera de Carmona,15,4
149,1542614822,37.3932438,-5.9838491, Calle de Maria Auxiliadora,15,2
150,1542614837,37.390463,-5.9980113, Calle San Pablo,20,3
